Last Name,First Name,Second Contestant Last Name,Second Contestant First Name,Season,Days Participating,Medically Evacuated,Average Temperature of Hometown (based on September) °c,Average Temperature of Show (based on September) °c,Knife,Multi-Tool,Sharpening Stone,Duct Tape/Electrical Tape,Shovel,Sewing Kit,Carabiner,LED Flashlight,Ice Spikes,Axe,Saw,Hatchet,"Auger, Scotch Eyed",Beef Jerky,Dried snack mix,Biltong,Hardtack Biscuits,Chocolate,Pemmican,Emergency Rations,Trail Mix,Flour,Salt,Rice/Sugar/Salt,Pot,Frying Pan,Flint and Steel/Ferro Rod,Canteen,Bear Canister,Bowl,Spoon,Lighter,Bivvy Bag,Hammock,Sleeping Pad,Sleeping Bag,Paracord,Tarp,Rope,Fishing Line + Hooks,Wood Bow and Arrows,Trapping Wire,Gauge Gill Net,Net Foraging Bag,Slingshot,Soap Bar,Comb,Towel,Toothpaste,Floss,Shower Soap,Razor
Syers,Keith,null,null,7,22,Yes,22,3,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Rodriguez,Amós,null,null,7,58,No,19,3,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Loon,Joel Van Der,null,null,7,40,No,13,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Welker,Roland,null,null,7,100,No,8,3,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Barnes,Colter,null,null,8,67,Yes,9,16,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Bell,Jordon,null,null,8,19,No,22,16,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Corradino,Matt,null,null,8,22,No,29,16,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Finn,Michelle,null,null,8,21,No,14,16,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Madsen,Tim,null,null,8,6,Yes,12,16,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Heyes,Clay,null,null,8,74,No,21,16,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
